,timestamp,user,year,month
0,2013-07-22 20:39:20,senior7515,2013,7
1,2013-07-22 20:39:20,gnufied,2013,7
2,2013-07-22 20:39:20,methodmissing,2013,7
3,2013-07-22 20:39:20,brett,2013,7
4,2013-07-22 20:39:20,auser,2013,7
5,2013-07-22 20:39:20,jney,2013,7
6,2013-07-22 20:39:21,eyecat,2013,7
7,2013-07-22 20:39:21,Rickasaurus,2013,7
8,2013-07-22 20:39:21,libin,2013,7
9,2013-07-22 20:39:21,bradfitz,2013,7
10,2013-07-22 20:39:21,apanda,2013,7
11,2013-07-22 20:39:21,sbellity,2013,7
12,2013-07-22 20:39:21,ryanking,2013,7
13,2013-07-22 20:39:21,jorgeortiz85,2013,7
14,2013-07-22 20:39:21,mrflip,2013,7
15,2013-07-22 20:39:21,mndoci,2013,7
16,2013-07-22 20:39:21,tjhunter,2013,7
17,2013-07-22 20:39:21,Yasushi,2013,7
18,2013-07-22 20:39:21,naveen,2013,7
19,2013-07-22 20:39:21,tlossen,2013,7
20,2013-07-22 20:39:21,yasuhito,2013,7
21,2013-07-22 20:39:21,jayed,2013,7
22,2013-07-22 20:39:22,madhusudancs,2013,7
23,2013-07-22 20:39:22,igrigorik,2013,7
24,2013-07-22 20:39:22,HotFusionMan,2013,7
25,2013-07-22 20:39:22,nuggetwheat,2013,7
26,2013-07-22 20:39:22,anarcher,2013,7
27,2013-07-22 20:39:22,niw,2013,7
28,2013-07-22 20:39:22,bciceron,2013,7
29,2013-07-22 20:39:22,hammer,2013,7
30,2013-07-22 20:39:22,lucianopanaro,2013,7
31,2013-07-22 20:39:22,phunt,2013,7
32,2013-07-22 20:39:22,brimbrom,2013,7
33,2013-07-22 20:39:22,darxriggs,2013,7
34,2013-07-22 20:39:22,afex,2013,7
35,2013-07-22 20:39:22,fmu,2013,7
36,2013-07-22 20:39:22,ijuma,2013,7
37,2013-07-22 20:39:22,auguste,2013,7
38,2013-07-22 20:39:22,tdmackey,2013,7
39,2013-07-22 20:39:22,pmorelli,2013,7
40,2013-07-22 20:39:22,addame,2013,7
41,2013-07-22 20:39:22,timwee,2013,7
42,2013-07-22 20:39:22,harshach,2013,7
43,2013-07-22 20:39:22,zeitgeist,2013,7
44,2013-07-22 20:39:23,abecciu,2013,7
45,2013-07-22 20:39:23,trycatcher,2013,7
46,2013-07-22 20:39:23,vijendar,2013,7
47,2013-07-22 20:39:23,ghais,2013,7
48,2013-07-22 20:39:23,windyrobin,2013,7
49,2013-07-22 20:39:23,stonegao,2013,7
50,2013-07-22 20:39:23,schaelle,2013,7
51,2013-07-22 20:39:23,elijah,2013,7
52,2013-07-22 20:39:23,ulinkwo,2013,7
53,2013-07-22 20:39:23,stuhood,2013,7
54,2013-07-22 20:39:23,redotheoffice,2013,7
55,2013-07-22 20:39:23,reeyuk,2013,7
56,2013-07-22 20:39:23,atiw003,2013,7
57,2013-07-22 20:39:23,avsm,2013,7
58,2013-07-22 20:39:23,tobym,2013,7
59,2013-07-22 20:39:23,chaoslawful,2013,7
60,2013-07-22 20:39:23,netik,2013,7
61,2013-07-22 20:39:24,ceteri,2013,7
62,2013-07-22 20:39:24,rduong,2013,7
63,2013-07-22 20:39:24,medcl,2013,7
64,2013-07-22 20:39:24,zjinys,2013,7
65,2013-07-22 20:39:24,viirya,2013,7
66,2013-07-22 20:39:24,abrooks,2013,7
67,2013-07-22 20:39:24,keilw,2013,7
68,2013-07-22 20:39:24,apurtell,2013,7
69,2013-07-22 20:39:24,darkseed,2013,7
70,2013-07-22 20:39:24,paolodedios,2013,7
71,2013-07-22 20:39:24,zma,2013,7
72,2013-07-22 20:39:24,driedtoast,2013,7
73,2013-07-22 20:39:24,nivertech,2013,7
74,2013-07-22 20:39:24,he9lin,2013,7
75,2013-07-22 20:39:24,mrt,2013,7
76,2013-07-22 20:39:24,wh5a,2013,7
77,2013-07-22 20:39:24,conikeec,2013,7
78,2013-07-22 20:39:24,larsgeorge,2013,7
79,2013-07-22 20:39:24,tomwhite,2013,7
80,2013-07-22 20:39:24,ido,2013,7
81,2013-07-22 20:39:24,kcnickerson,2013,7
82,2013-07-22 20:39:24,aravind,2013,7
83,2013-07-22 20:39:24,joshmoore,2013,7
84,2013-07-22 20:39:25,henryr,2013,7
85,2013-07-22 20:39:25,JeffersonK,2013,7
86,2013-07-22 20:39:25,pas256,2013,7
87,2013-07-22 20:39:25,unakatsuo,2013,7
88,2013-07-22 20:39:25,bwmcadams,2013,7
89,2013-07-22 20:39:25,beatty,2013,7
90,2013-07-22 20:39:25,ludovicc,2013,7
91,2013-07-22 20:39:25,jshuping,2013,7
92,2013-07-22 20:39:25,kzk,2013,7
93,2013-07-22 20:39:25,xiefei,2013,7
94,2013-07-22 20:39:25,aculich,2013,7
95,2013-07-22 20:39:25,sorenmacbeth,2013,7
96,2013-07-22 20:39:25,nathanmarz,2013,7
97,2013-07-22 20:39:25,emaland,2013,7
98,2013-07-22 20:39:25,bf4,2013,7
99,2013-07-22 20:39:25,XieConnect,2013,7
100,2013-07-22 20:39:25,okoye,2013,7
101,2013-07-22 20:39:25,sunnygleason,2013,7
